No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
897,AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
898,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.789,Pengembangan
899,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,9.468.359.000,Utama
900,PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus
901,PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
902,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pemantauan Khusus
903,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
904,AYLS,Arkayana Lestari Grup Tbk.,12 Feb 2020,853.423.236,Pengembangan
905,DADA,Diamond Citra Propertindo Tbk.,14 Feb 2020,7.431.530.800,Pengembangan
906,ASPI,Andalan Sakti Primaindo Tbk.,17 Feb 2020,683.810.725,Pengembangan
907,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,2.425.354.179,Pengembangan
908,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,3.440.455.528,Pengembangan
909,AMAN,Makmur Berkah Amanda Tbk.,13 Mar 2020,3.873.500.000,Pengembangan
910,CARE,Metro Healthcare Indonesia Tbk,13 Mar 2020,33.250.000.000,Pengembangan
911,SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama
912,SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,4.752.982.378,Pemantauan Khusus
913,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
914,CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,1.875.000.000,Pemantauan Khusus
915,RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
916,CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,816.061.500,Pemantauan Khusus
917,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
918,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan
919,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,2.427.802.216,Akselerasi
920,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pemantauan Khusus
921,EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pengembangan
922,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
923,PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,5.737.848.882,Pengembangan
924,SOFA,Solusi Environment Asia Tbk.,07 Jul 2020,1.653.574.499,Akselerasi
925,PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi
926,TOYS,Sunindo Adipersada Tbk.,06 Agt 2020,1.435.000.712,Pemantauan Khusus
927,SGER,Sumber Global Energy Tbk.,10 Agt 2020,15.586.909.438,Utama
928,TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan
929,PNGO,AEP Pinago Plantations Tbk.,31 Agt 2020,781.250.000,Pemantauan Khusus
930,SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,2.500.000.000,Pengembangan
931,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama
932,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
933,PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
934,SOHO,Soho Global Health Tbk.,08 Sep 2020,12.691.682.390,Pengembangan
935,HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
936,ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pengembangan
937,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,2.162.547.122,Pengembangan
938,PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,896.709.596,Akselerasi
939,PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus
940,ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pengembangan
941,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
942,PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.588.300.000,Pemantauan Khusus
943,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,5.308.549.015,Pengembangan
944,FAPA,FAP Agri Tbk.,04 Jan 2021,3.629.411.800,Pengembangan
945,DCII,DCI Indonesia Tbk.,06 Jan 2021,2.383.745.900,Pengembangan
946,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,2.841.262.838,Pengembangan
947,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,1.375.000.000,Pengembangan
948,UFOE,Damai Sejahtera Abadi Tbk.,01 Feb 2021,2.898.261.693,Pengembangan
949,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.793.174.908,Pengembangan
950,WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,12.941.176.500,Pengembangan
951,EDGE,Indointernet Tbk.,08 Feb 2021,2.020.250.000,Pemantauan Khusus
952,UNIQ,Ulima Nitra Tbk.,08 Mar 2021,3.138.983.000,Pengembangan
953,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus
954,SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,450.000.000,Pengembangan
955,ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,1.333.334.556,Pengembangan
956,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,1.307.734.937,Akselerasi
957,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus
958,TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,19.852.540.000,Utama
959,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan
960,LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1.514.773.893,Akselerasi
961,ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
962,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pengembangan
